Model,accuracy,precision,recall,f1,mse
pca_SVM,0.9232876712328767,0.9212441854328601,0.9232876712328767,0.9214824687891323,0.9452054794520548
pca_Random Forest,0.8904109589041096,0.8876610353852952,0.8904109589041096,0.8869096003622778,1.4164383561643836
pca_Linear Regression,0.07945205479452055,0.36059009483667015,0.07945205479452054,0.13021308980213092,2.4575342465753423
pca_Neural Network,0.9205479452054794,0.921936057755766,0.9205479452054794,0.9201253524181785,0.936986301369863
lda_SVM,0.958904109589041,0.9585293667478471,0.958904109589041,0.9579941987346074,0.5068493150684932
lda_Random Forest,0.9561643835616438,0.9543813269924195,0.9561643835616438,0.9551408281901741,0.40821917808219177
lda_Linear Regression,0.09863013698630137,0.405989168525008,0.09863013698630137,0.15870485678704857,2.361643835616438
lda_Neural Network,0.9561643835616438,0.9555720396339812,0.9561643835616438,0.9555841318755623,0.4547945205479452
rfe_SVM,0.9835616438356164,0.9809956103837129,0.9835616438356164,0.9820774199531175,0.14520547945205478
rfe_Random Forest,1.0,1.0,1.0,1.0,0.0
rfe_Linear Regression,0.0958904109589041,0.41396592048112263,0.0958904109589041,0.15571195174060576,2.4273972602739726
rfe_Neural Network,1.0,1.0,1.0,1.0,0.0
